Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
2.0,12.8,59.0,0.9,1804.0,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,434
17.0,16.7,45.0,2.2,772.0,4.6,0.43,0.0,0.0,Autumn,No Holiday,No,0
11.0,-8.1,24.0,3.6,1761.0,-25.1,0.91,0.0,0.0,Winter,No Holiday,Yes,166
5.0,9.1,,0.9,2000.0,-5.9,0.0,0.0,0.0,Spring,No Holiday,Yes,156
12.0,-1.5,35.0,1.2,1551.0,-15.0,1.9,0.0,0.0,Winter,No Holiday,Yes,253
17.0,-2.7,35.0,1.8,2000.0,-16.0,0.18,0.0,2.0,Winter,No Holiday,Yes,256
14.0,12.7,55.0,3.4,378.0,3.8,2.42,0.0,0.0,Spring,No Holiday,Yes,855
6.0,14.4,61.0,1.2,2000.0,,0.0,0.0,0.0,Autumn,No Holiday,No,0
6.0,0.8,45.0,0.7,1268.0,-9.8,0.0,0.0,0.0,Winter,No Holiday,Yes,159
13.0,20.6,30.0,2.4,1048.0,2.3,2.67,0.0,0.0,Spring,No Holiday,Yes,1084
20.0,-4.9,55.0,2.0,2000.0,-12.5,0.0,0.0,2.0,Winter,No Holiday,Yes,225
23.0,26.6,80.0,2.0,1527.0,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1278
2.0,21.2,66.0,0.8,2000.0,14.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,437
5.0,3.3,72.0,0.0,1946.0,-1.2,0.0,0.0,0.0,Autumn,No Holiday,,154
23.0,25.0,44.0,,2000.0,11.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1446
9.0,17.5,65.0,1.0,416.0,10.8,1.0,0.0,0.0,Spring,No Holiday,Yes,983
18.0,-3.8,42.0,3.3,2000.0,-14.8,0.0,,2.0,Winter,No Holiday,Yes,384
5.0,28.3,60.0,1.6,,19.7,0.0,0.0,0.0,Summer,No Holiday,Yes,284
13.0,7.1,24.0,2.8,1838.0,-12.1,1.83,0.0,0.0,Autumn,No Holiday,Yes,740
7.0,19.1,98.0,0.3,125.0,18.7,0.0,0.0,0.0,Spring,No Holiday,Yes,80
13.0,18.9,89.0,2.6,586.0,17.0,0.58,0.0,0.0,Autumn,No Holiday,Yes,301
5.0,7.8,81.0,1.1,2000.0,4.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,185
8.0,2.6,77.0,1.3,567.0,-1.0,0.21,0.0,,Spring,No Holiday,Yes,1216
0.0,12.1,70.0,0.8,1050.0,6.7,0.0,0.0,0.0,Spring,No Holiday,Yes,579
14.0,6.3,40.0,,943.0,-6.3,0.34,0.0,0.0,Winter,No Holiday,Yes,357
18.0,-7.7,36.0,1.0,2000.0,-20.2,0.0,0.0,0.0,Winter,No Holiday,Yes,529
0.0,29.2,50.0,,2000.0,17.7,0.0,0.0,0.0,Summer,No Holiday,Yes,810
0.0,6.4,62.0,0.7,506.0,-0.3,0.0,0.0,0.0,Spring,No Holiday,,309
7.0,,54.0,0.7,1997.0,8.5,0.51,0.0,0.0,Summer,No Holiday,Yes,423
9.0,16.1,50.0,2.6,1628.0,5.6,1.52,0.0,0.0,Spring,No Holiday,Yes,759
0.0,21.5,76.0,1.4,1015.0,17.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1394
3.0,25.1,85.0,0.7,1507.0,22.3,0.0,0.0,0.0,Summer,No Holiday,Yes,276
5.0,-1.8,82.0,1.3,375.0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,79
6.0,-4.1,50.0,3.0,2000.0,-13.0,0.0,0.0,0.0,Winter,Holiday,Yes,59
21.0,28.1,,3.1,1840.0,23.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1924
3.0,,67.0,1.0,,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,46
13.0,,29.0,2.2,1662.0,-14.5,1.2,0.0,0.0,Winter,No Holiday,Yes,294
15.0,34.3,49.0,1.0,1633.0,22.0,1.62,0.0,0.0,Summer,No Holiday,Yes,698
17.0,27.7,40.0,5.0,2000.0,12.8,1.51,0.0,0.0,Autumn,No Holiday,Yes,2068
16.0,16.5,39.0,3.1,366.0,2.4,1.91,0.0,0.0,Spring,No Holiday,Yes,1031
,24.8,43.0,1.2,1943.0,11.3,3.27,0.0,0.0,Summer,No Holiday,Yes,1525
14.0,21.1,32.0,4.4,1999.0,3.7,2.48,0.0,0.0,Autumn,No Holiday,No,0
15.0,5.4,25.0,2.4,1686.0,-13.1,0.9,0.0,0.0,Winter,,Yes,381
19.0,8.1,53.0,3.7,2000.0,-0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1377
3.0,5.0,67.0,0.8,2000.0,-0.6,0.0,0.0,0.0,Autumn,,Yes,123
2.0,20.1,49.0,0.8,1978.0,9.0,0.0,0.0,0.0,Summer,No Holiday,Yes,351
10.0,1.1,38.0,3.1,1184.0,-11.6,1.13,0.0,0.0,Winter,No Holiday,Yes,265
12.0,20.5,37.0,,1761.0,,2.94,0.0,0.0,Spring,No Holiday,Yes,1023
3.0,0.9,97.0,1.2,243.0,0.4,0.0,3.7,4.1,Winter,No Holiday,Yes,32
14.0,6.5,43.0,0.8,468.0,-5.2,0.52,0.0,0.0,Winter,No Holiday,Yes,276
17.0,2.1,50.0,2.0,1434.0,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes,552
23.0,-15.7,43.0,3.6,2000.0,-25.4,0.0,0.0,0.7,Winter,No Holiday,Yes,82
,-7.3,67.0,1.1,1593.0,-12.3,0.0,0.0,2.0,Winter,No Holiday,Yes,172
21.0,29.1,78.0,1.1,1362.0,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1211
15.0,9.5,96.0,2.2,,8.8,0.31,1.5,0.0,Spring,No Holiday,Yes,14
12.0,9.3,37.0,2.3,940.0,-4.6,2.72,0.0,0.0,Spring,No Holiday,Yes,690
21.0,15.9,35.0,1.4,1999.0,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1593
8.0,4.5,49.0,0.4,580.0,-5.3,0.19,0.0,0.0,Spring,No Holiday,Yes,424
7.0,15.1,81.0,0.8,1939.0,11.8,0.03,0.0,0.0,Autumn,No Holiday,No,0
5.0,18.4,70.0,1.4,2000.0,12.8,0.0,0.0,0.0,Summer,No Holiday,Yes,138
22.0,18.4,85.0,2.1,1772.0,15.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1049
,-3.4,77.0,1.6,432.0,-6.8,0.12,0.0,0.0,Winter,No Holiday,,118
10.0,34.4,46.0,2.0,1880.0,21.1,1.94,0.0,0.0,Summer,No Holiday,Yes,549
2.0,7.3,96.0,1.0,337.0,6.6,0.0,1.5,0.0,Spring,No Holiday,Yes,27
18.0,26.4,,3.1,1995.0,,0.79,0.0,,Spring,No Holiday,Yes,3119
19.0,20.7,46.0,1.0,,8.6,0.02,0.0,0.0,Autumn,No Holiday,Yes,1937
5.0,3.0,34.0,1.1,1032.0,-11.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,140
9.0,7.6,82.0,0.7,147.0,4.7,0.55,0.0,0.0,Spring,No Holiday,Yes,540
4.0,9.5,66.0,1.1,1737.0,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,138
11.0,22.9,,1.4,1918.0,13.9,2.24,0.0,0.0,Summer,No Holiday,Yes,1118
16.0,16.1,70.0,1.3,898.0,10.6,0.83,0.0,0.0,Autumn,No Holiday,Yes,1294
19.0,16.6,96.0,2.4,1072.0,15.9,0.0,1.5,0.0,Autumn,No Holiday,Yes,55
14.0,34.0,50.0,1.2,1744.0,22.1,1.68,0.0,0.0,Summer,No Holiday,Yes,658
15.0,12.0,35.0,3.0,1908.0,-3.0,1.72,0.0,0.0,Autumn,No Holiday,Yes,994
17.0,-0.9,19.0,5.0,2000.0,-21.6,0.48,0.0,0.0,Winter,No Holiday,Yes,277
2.0,22.4,84.0,0.6,667.0,19.5,0.0,0.0,0.0,Summer,No Holiday,Yes,652
11.0,12.4,,1.0,317.0,10.2,0.24,1.0,0.0,Autumn,No Holiday,Yes,54
4.0,3.3,90.0,1.3,682.0,1.8,0.0,0.0,0.0,Spring,No Holiday,,8
7.0,18.6,85.0,2.0,307.0,16.0,0.16,0.0,0.0,Summer,No Holiday,Yes,1551
15.0,21.0,28.0,1.7,2000.0,1.7,1.16,0.0,0.0,Spring,No Holiday,Yes,1999
23.0,0.3,38.0,0.2,1895.0,-12.3,,0.0,0.0,Spring,No Holiday,Yes,284
20.0,3.0,62.0,2.4,975.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,348
18.0,22.2,22.0,1.8,2000.0,-0.5,1.25,0.0,0.0,Spring,No Holiday,Yes,2403
12.0,27.3,51.0,2.8,703.0,16.2,3.16,0.0,0.0,Summer,Holiday,Yes,1400
16.0,19.1,52.0,0.9,1583.0,9.0,0.37,0.0,0.0,Spring,No Holiday,Yes,103
0.0,-3.5,48.0,0.9,1967.0,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,267
5.0,,62.0,4.9,1372.0,-4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,57
17.0,22.0,89.0,2.2,285.0,20.0,0.21,1.0,0.0,Autumn,No Holiday,Yes,322
23.0,-0.4,32.0,0.6,2000.0,,0.0,0.0,0.0,Winter,No Holiday,Yes,170
22.0,6.5,85.0,2.3,167.0,4.1,0.0,0.0,0.0,Spring,No Holiday,Yes,460
22.0,16.6,47.0,3.9,2000.0,5.2,0.0,0.0,0.0,Autumn,Holiday,,958
16.0,28.2,71.0,1.7,2000.0,22.4,0.96,0.0,0.0,Summer,No Holiday,Yes,1105
,,26.0,3.1,1933.0,-20.0,1.07,0.0,0.0,Winter,No Holiday,Yes,268
4.0,20.7,69.0,1.3,2000.0,14.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,240
7.0,7.0,86.0,1.1,455.0,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1115
0.0,-0.3,60.0,1.9,340.0,-7.1,0.0,0.0,0.0,Winter,,Yes,196
2.0,-5.7,72.0,1.2,1925.0,-9.9,0.0,,0.8,Winter,No Holiday,Yes,63
13.0,26.8,45.0,1.8,1984.0,13.8,2.6,0.0,0.0,Autumn,No Holiday,Yes,1066
10.0,26.1,53.0,0.9,554.0,15.7,2.14,0.0,0.0,Summer,No Holiday,Yes,822
14.0,12.3,16.0,2.5,1797.0,-12.8,1.69,0.0,0.0,Autumn,No Holiday,Yes,790
7.0,1.9,51.0,4.9,1297.0,-7.1,0.07,0.0,0.0,Spring,No Holiday,Yes,206
16.0,15.8,15.0,2.6,1867.0,-10.8,1.7,0.0,0.0,Spring,No Holiday,Yes,1285
11.0,4.3,44.0,2.3,1091.0,-6.9,1.77,0.0,0.0,Winter,No Holiday,Yes,314
10.0,-2.4,41.0,1.5,1905.0,-13.8,1.19,0.0,0.0,,,Yes,200
6.0,-0.1,,0.4,1080.0,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,50
17.0,28.2,39.0,2.9,1653.0,12.9,0.7,0.0,0.0,Summer,,Yes,2355
17.0,20.1,27.0,,1088.0,0.4,,0.0,0.0,Spring,No Holiday,Yes,1534
11.0,1.7,37.0,0.6,1062.0,-11.4,0.23,0.0,0.0,Winter,No Holiday,Yes,278
5.0,17.5,60.0,1.6,2000.0,9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,241
7.0,12.1,71.0,1.6,876.0,6.9,0.34,0.0,0.0,Spring,No Holiday,No,0
9.0,-4.7,49.0,1.2,1550.0,-13.8,0.12,0.0,0.0,Winter,No Holiday,Yes,354
21.0,17.7,63.0,0.5,1324.0,10.5,0.0,0.0,0.0,Spring,No Holiday,Yes,2065
0.0,11.9,74.0,1.6,287.0,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,639
12.0,4.0,23.0,3.5,1785.0,-15.3,2.03,0.0,0.0,Winter,No Holiday,Yes,356
11.0,16.7,55.0,2.1,1182.0,7.6,1.37,0.0,0.0,Spring,No Holiday,Yes,737
11.0,-11.2,31.0,2.4,1944.0,-25.0,0.94,,0.0,,No Holiday,Yes,140
7.0,4.0,54.0,0.9,587.0,-4.4,0.01,0.0,0.0,Spring,No Holiday,Yes,198
3.0,10.3,81.0,0.7,361.0,7.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,372
2.0,12.7,80.0,3.9,885.0,9.3,0.0,0.0,0.0,Spring,No Holiday,No,0
1.0,3.1,84.0,1.0,365.0,0.6,0.0,0.0,0.3,Autumn,No Holiday,Yes,214
0.0,13.6,79.0,2.2,862.0,10.0,0.0,0.0,0.0,Spring,No Holiday,Yes,412
23.0,19.4,62.0,1.7,2000.0,,,0.0,0.0,Autumn,No Holiday,No,0
23.0,5.4,78.0,1.5,404.0,1.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,563
2.0,7.1,64.0,0.9,1756.0,0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,126
22.0,-3.4,39.0,1.2,2000.0,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,347
19.0,28.1,38.0,2.6,2000.0,12.4,0.63,0.0,0.0,Summer,No Holiday,Yes,1557
8.0,0.4,38.0,1.8,1564.0,-12.3,0.16,0.0,0.0,Spring,No Holiday,Yes,306
10.0,5.1,70.0,1.2,498.0,0.0,0.93,0.0,0.0,,No Holiday,Yes,586
10.0,10.2,68.0,0.7,354.0,4.5,1.06,0.0,0.0,Autumn,No Holiday,Yes,563
23.0,-6.7,36.0,1.3,1821.0,-19.3,0.0,0.0,0.0,,No Holiday,Yes,144
9.0,-5.9,36.0,5.1,1941.0,-18.6,0.1,0.0,0.0,Winter,No Holiday,Yes,326
17.0,22.4,23.0,2.4,2000.0,0.2,1.89,0.0,0.0,Spring,No Holiday,Yes,2310
6.0,25.7,83.0,0.6,1483.0,22.5,0.0,0.0,0.0,Summer,No Holiday,Yes,645
8.0,-7.3,62.0,2.6,1112.0,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,190
21.0,-3.3,35.0,0.5,2000.0,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,336
3.0,17.0,74.0,1.7,1294.0,12.3,0.0,0.0,0.0,Spring,No Holiday,Yes,156
6.0,-9.9,42.0,2.3,2000.0,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,39
1.0,-3.6,35.0,2.0,1943.0,-16.8,0.0,0.0,,Winter,Holiday,Yes,77
15.0,31.1,57.0,3.7,1912.0,21.5,2.03,0.0,0.0,Summer,No Holiday,Yes,1038
2.0,12.0,76.0,1.0,363.0,7.8,0.0,0.0,0.0,Spring,No Holiday,Yes,522
,15.3,50.0,1.0,944.0,4.9,1.97,0.0,0.0,Spring,No Holiday,Yes,789
4.0,18.1,76.0,1.8,561.0,13.7,0.0,0.0,,Summer,No Holiday,Yes,265
7.0,23.9,71.0,0.4,2000.0,18.3,0.02,0.0,0.0,Autumn,No Holiday,Yes,1287
9.0,15.8,42.0,0.9,683.0,2.8,1.37,0.0,0.0,Spring,No Holiday,Yes,962
2.0,-1.2,35.0,2.2,2000.0,-14.7,0.0,0.0,0.0,Winter,Holiday,Yes,112
15.0,1.0,14.0,4.6,2000.0,-23.5,2.12,0.0,0.0,Winter,Holiday,Yes,273
18.0,23.6,48.0,3.1,666.0,11.9,0.85,0.0,0.0,Spring,No Holiday,Yes,2906
7.0,6.3,65.0,1.0,2000.0,0.1,0.01,0.0,0.0,Autumn,No Holiday,Yes,1233
0.0,14.5,74.0,0.4,2000.0,9.9,0.0,0.0,0.0,Autumn,Holiday,Yes,1040
21.0,5.8,44.0,2.2,1205.0,-5.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1019
18.0,18.3,34.0,3.3,2000.0,2.1,0.36,0.0,0.0,Autumn,No Holiday,No,0
15.0,37.4,,1.4,,,1.72,0.0,0.0,Summer,Holiday,Yes,761
11.0,-2.8,35.0,2.9,1984.0,-16.1,0.87,0.0,0.0,Winter,Holiday,Yes,179
5.0,24.5,97.0,0.5,229.0,23.9,0.0,0.5,0.0,Summer,No Holiday,Yes,76
6.0,-5.6,52.0,3.7,1785.0,-13.9,0.0,0.0,0.9,Winter,No Holiday,Yes,126
7.0,24.6,97.0,0.3,180.0,,0.07,0.5,0.0,Summer,No Holiday,Yes,303
12.0,17.8,21.0,2.7,1335.0,-4.8,2.79,0.0,0.0,Spring,No Holiday,Yes,919
3.0,26.2,83.0,0.3,1294.0,23.0,0.0,0.0,0.0,Summer,No Holiday,Yes,322
17.0,22.7,96.0,4.9,452.0,22.0,0.07,,0.0,Autumn,No Holiday,Yes,23
4.0,-5.8,48.0,1.5,1552.0,-15.0,0.0,0.0,0.0,Spring,No Holiday,Yes,47
15.0,22.4,39.0,1.9,2000.0,7.7,2.16,0.0,0.0,Spring,No Holiday,Yes,1267
5.0,8.1,76.0,0.6,1309.0,4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,154
10.0,21.6,97.0,0.5,266.0,21.0,0.13,12.0,0.0,Summer,No Holiday,Yes,13
4.0,7.1,79.0,1.2,1567.0,3.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,226
22.0,18.1,43.0,1.7,2000.0,5.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1249
2.0,23.2,88.0,0.6,2000.0,21.0,0.0,0.0,0.0,Summer,No Holiday,Yes,482
5.0,9.4,65.0,0.8,1659.0,3.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,202
16.0,37.4,35.0,1.3,2000.0,19.3,2.0,0.0,0.0,Summer,No Holiday,Yes,993
14.0,17.6,39.0,2.5,1964.0,3.4,1.63,0.0,0.0,Autumn,No Holiday,Yes,1150
23.0,6.8,56.0,0.9,497.0,-1.3,0.0,0.0,0.0,Spring,,Yes,397
16.0,5.2,21.0,2.1,1721.0,-15.4,1.97,0.0,0.0,Spring,No Holiday,Yes,574
2.0,14.0,73.0,0.5,1992.0,9.2,0.0,0.0,0.0,Autumn,No Holiday,No,0
21.0,19.5,46.0,,1734.0,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1729
20.0,12.6,49.0,0.8,2000.0,2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,1332
12.0,30.1,64.0,1.2,2000.0,22.5,2.54,0.0,0.0,Summer,No Holiday,Yes,944
11.0,22.7,63.0,1.1,605.0,15.2,1.36,0.0,0.0,Spring,Holiday,Yes,1117
7.0,7.2,76.0,0.5,1113.0,3.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,315
11.0,20.1,40.0,1.6,1985.0,6.0,2.47,0.0,0.0,Autumn,Holiday,Yes,853
3.0,18.4,86.0,0.6,360.0,16.0,0.0,0.0,0.0,Spring,No Holiday,Yes,238
17.0,6.0,29.0,2.1,1877.0,-10.7,0.23,0.0,0.0,Autumn,No Holiday,Yes,1047
9.0,8.4,49.0,2.6,2000.0,-1.7,1.17,0.0,0.0,Autumn,No Holiday,Yes,1070
6.0,,75.0,1.0,560.0,5.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,456
14.0,-7.0,26.0,4.4,1986.0,-23.3,2.24,0.0,0.0,Winter,No Holiday,Yes,147
15.0,13.8,34.0,2.4,,-1.8,1.45,0.0,0.0,Autumn,No Holiday,Yes,1084
8.0,-4.9,44.0,3.0,2000.0,-15.3,0.0,0.0,0.0,Winter,Holiday,Yes,94
20.0,2.7,27.0,,2000.0,-14.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,767
20.0,-1.9,86.0,0.9,700.0,-3.9,0.0,0.0,2.4,Winter,No Holiday,Yes,165
6.0,14.2,72.0,0.6,947.0,9.2,0.04,0.0,0.0,Spring,No Holiday,Yes,299
12.0,25.0,46.0,1.9,1943.0,,2.93,0.0,0.0,Summer,No Holiday,Yes,1237
,7.1,68.0,0.6,1082.0,1.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,313
8.0,-12.6,61.0,1.6,1610.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,443
14.0,27.1,72.0,3.0,1126.0,21.6,0.91,0.0,0.0,Summer,No Holiday,Yes,1030
20.0,20.2,48.0,3.3,2000.0,8.8,0.0,0.0,0.0,,,Yes,1287
12.0,35.2,39.0,1.2,2000.0,19.1,2.86,0.0,0.0,Summer,No Holiday,Yes,626
8.0,28.8,56.0,1.4,2000.0,19.1,1.08,0.0,0.0,Summer,No Holiday,Yes,1646
8.0,24.4,58.0,0.8,2000.0,15.5,0.45,0.0,0.0,Summer,No Holiday,Yes,592
11.0,5.1,87.0,1.4,321.0,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,273
10.0,31.2,61.0,,901.0,22.7,1.71,0.0,0.0,Summer,No Holiday,Yes,639
12.0,24.0,51.0,1.8,2000.0,13.2,2.29,0.0,0.0,Summer,No Holiday,Yes,1202
2.0,19.2,60.0,1.5,2000.0,11.2,0.0,0.0,0.0,Summer,No Holiday,Yes,353
6.0,-7.4,64.0,0.7,906.0,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes,129
21.0,4.7,,1.2,247.0,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,385
9.0,16.6,98.0,0.6,301.0,16.2,0.18,0.5,0.0,Spring,No Holiday,Yes,427
10.0,26.0,77.0,2.2,2000.0,21.6,0.61,0.0,0.0,Summer,No Holiday,Yes,286
14.0,19.8,23.0,2.6,,-1.9,3.01,0.0,0.0,Spring,No Holiday,Yes,1037
12.0,0.9,29.0,1.9,1761.0,-15.1,0.88,0.0,0.0,Winter,,Yes,293
7.0,6.9,81.0,0.8,665.0,3.8,0.01,0.0,0.0,Autumn,No Holiday,Yes,304
0.0,-7.9,37.0,2.2,2000.0,-20.0,0.0,0.0,0.0,Winter,,Yes,133
1.0,-11.2,51.0,1.1,2000.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,127
7.0,0.8,41.0,0.6,1298.0,-10.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,800
20.0,-4.7,55.0,1.7,2000.0,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,244
13.0,18.9,30.0,3.8,1854.0,0.9,,0.0,0.0,Spring,No Holiday,Yes,1222
2.0,5.4,66.0,0.6,623.0,-0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,161
10.0,22.2,43.0,0.9,,9.0,2.09,0.0,0.0,Autumn,No Holiday,Yes,1096
5.0,9.7,84.0,1.7,447.0,7.1,0.0,0.0,0.0,Spring,No Holiday,No,0
21.0,-14.1,35.0,2.2,2000.0,-26.2,0.0,0.0,0.5,Winter,No Holiday,Yes,137
17.0,34.3,48.0,3.4,2000.0,21.7,1.82,,0.0,Summer,No Holiday,Yes,901
3.0,19.6,51.0,1.0,1923.0,9.1,0.0,0.0,0.0,Summer,No Holiday,Yes,244
20.0,22.6,74.0,,1594.0,17.7,0.01,0.0,0.0,Summer,No Holiday,Yes,1557
13.0,19.7,52.0,2.1,512.0,9.5,1.83,0.0,0.0,Autumn,No Holiday,Yes,1058
19.0,15.5,97.0,,403.0,15.0,0.0,2.0,0.0,Spring,No Holiday,Yes,29
20.0,1.9,90.0,0.9,88.0,0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,66
9.0,15.5,55.0,1.7,1318.0,6.4,1.76,0.0,,Spring,No Holiday,No,0
10.0,28.5,66.0,1.7,1319.0,,1.83,0.0,0.0,Summer,No Holiday,Yes,701
8.0,-3.6,63.0,0.9,1473.0,-9.6,0.07,0.0,0.0,Winter,No Holiday,Yes,783
4.0,-6.4,46.0,0.8,1993.0,,0.0,0.0,0.0,Winter,No Holiday,Yes,47
5.0,6.3,97.0,1.7,787.0,5.8,0.0,0.5,0.0,Spring,No Holiday,Yes,54
18.0,20.7,54.0,4.1,1484.0,11.0,0.5,0.0,0.0,Spring,No Holiday,Yes,2401
11.0,1.8,75.0,,301.0,-2.1,0.35,0.0,0.0,Winter,No Holiday,Yes,261
0.0,-3.3,35.0,1.8,1977.0,-16.6,0.0,0.0,0.0,Winter,Holiday,Yes,105
6.0,3.0,96.0,2.7,303.0,2.4,0.0,0.4,0.0,Spring,Holiday,Yes,33
23.0,17.4,49.0,1.2,2000.0,6.5,0.0,0.0,0.0,Autumn,Holiday,Yes,1042
9.0,,33.0,2.9,2000.0,-28.7,0.19,0.0,0.6,Winter,No Holiday,Yes,187
23.0,5.3,53.0,1.5,582.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,310
20.0,31.5,53.0,1.8,2000.0,20.7,,0.0,0.0,Summer,No Holiday,Yes,1655
7.0,6.2,83.0,0.8,1100.0,3.5,0.01,0.0,0.0,Autumn,No Holiday,Yes,412
,-4.5,55.0,0.4,1908.0,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,143
22.0,2.9,65.0,2.3,1150.0,,0.0,,0.0,Winter,No Holiday,Yes,346
6.0,23.5,79.0,2.0,1439.0,19.6,,0.0,0.0,Summer,No Holiday,Yes,318
18.0,17.5,79.0,1.5,2000.0,13.8,0.57,0.0,0.0,Spring,No Holiday,Yes,2261
13.0,36.7,44.0,1.4,1765.0,22.4,1.9,0.0,0.0,Summer,No Holiday,Yes,550
11.0,32.8,49.0,2.8,2000.0,,2.87,0.0,0.0,Summer,No Holiday,Yes,526
23.0,0.0,63.0,3.2,884.0,-6.2,0.0,0.0,,Winter,Holiday,Yes,128
13.0,27.8,31.0,2.0,1326.0,9.1,3.29,0.0,0.0,Spring,No Holiday,Yes,1441
4.0,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,78
6.0,2.3,80.0,0.7,546.0,-0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,243
23.0,28.0,77.0,1.9,1346.0,23.5,0.0,0.0,0.0,Summer,No Holiday,Yes,1289
18.0,21.2,32.0,3.8,1927.0,3.8,0.94,0.0,0.0,Spring,No Holiday,,2807
2.0,-0.2,33.0,1.4,2000.0,-14.5,,0.0,0.0,Winter,No Holiday,Yes,73
18.0,14.6,39.0,2.3,2000.0,0.7,0.11,0.0,0.0,Autumn,No Holiday,Yes,2445
19.0,,57.0,2.2,1670.0,23.4,,0.0,0.0,Summer,No Holiday,Yes,1968
21.0,8.5,50.0,0.5,1707.0,-1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1189
9.0,13.2,57.0,0.8,1003.0,4.8,1.39,0.0,0.0,Spring,No Holiday,Yes,985
18.0,12.2,45.0,3.1,2000.0,0.5,0.16,0.0,0.0,Autumn,No Holiday,Yes,2514
16.0,25.5,43.0,3.2,1892.0,11.9,1.72,0.0,0.0,Summer,No Holiday,Yes,1671
10.0,5.2,,1.5,1808.0,,0.74,,0.0,Spring,No Holiday,Yes,410
1.0,13.8,75.0,0.5,2000.0,9.4,0.0,0.0,0.0,Autumn,Holiday,Yes,882
12.0,19.9,44.0,2.7,1874.0,7.2,2.22,0.0,0.0,Spring,No Holiday,Yes,813
8.0,21.9,88.0,1.6,601.0,19.8,0.17,0.0,0.0,Autumn,No Holiday,Yes,464
20.0,21.3,53.0,1.8,2000.0,11.3,0.0,,0.0,Autumn,No Holiday,No,0
3.0,13.5,41.0,1.0,2000.0,0.4,0.0,0.0,0.0,Spring,,Yes,347
22.0,14.8,59.0,1.0,1740.0,6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1588
10.0,-7.5,42.0,0.9,1705.0,-18.2,0.55,0.0,0.0,Winter,No Holiday,Yes,170
23.0,22.0,44.0,0.8,1978.0,9.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1274
16.0,2.9,26.0,3.0,1968.0,-14.7,0.69,0.0,0.0,Winter,No Holiday,Yes,330
